onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549468	17.438784	trialstart	1	15	2	
17.984712	2.116159	ITI	1	15	2	
20.109596	16.866269	trialstart	2	19	2	
36.975846	3.164446	ITI	2	19	2	
40.145553	17.039899	trialstart	3	18	2	
57.185430	2.490816	ITI	3	18	2	
59.681776	16.631388	trialstart	4	17	2	
76.313121	2.899339	ITI	4	17	2	
79.218057	16.870458	trialstart	5	18	2	
96.088492	3.660258	ITI	5	18	2	
99.754495	17.309986	trialstart	6	16	2	
117.064457	3.220723	ITI	6	16	2	
120.291241	17.232726	trialstart	7	16	2	
137.523944	2.797998	ITI	7	16	2	
140.328166	16.738954	trialstart	8	15	2	
157.067096	2.791761	ITI	8	15	2	
159.865453	17.178045	trialstart	9	16	2	
177.043449	2.352692	ITI	9	16	2	
179.402621	16.635291	trialstart	10	13	2	
196.037889	3.895422	ITI	10	13	2	
199.939972	16.989499	trialstart	11	17	2	
216.929443	3.041260	ITI	11	17	2	
219.977547	16.944915	trialstart	12	17	2	
236.922439	3.585804	ITI	12	17	2	
240.515241	16.900055	trialstart	13	16	2	
257.415275	3.630670	ITI	13	16	2	
261.053078	16.855034	trialstart	14	16	2	
277.908087	3.175678	ITI	14	16	2	
281.091056	17.093276	trialstart	15	15	2	
298.184308	2.937435	ITI	15	15	2	
301.129219	17.081419	trialstart	16	16	2	
318.210615	2.949297	ITI	16	16	2	
321.167473	17.136120	trialstart	17	18	2	
338.303569	2.894616	ITI	17	18	2	
341.205971	16.907352	trialstart	18	19	2	
358.113300	2.623365	ITI	18	19	2	
360.744566	17.229538	trialstart	19	19	2	
377.974079	3.301174	ITI	19	19	2	
381.283466	16.932500	trialstart	20	17	2	
398.215936	3.598236	ITI	20	17	2	
401.822363	17.086319	trialstart	21	19	2	
418.908658	3.444395	ITI	21	19	2	
422.361358	17.223419	trialstart	22	18	2	
439.584753	2.307296	ITI	22	18	2	
441.900652	16.977350	trialstart	23	17	2	
458.877980	3.053358	ITI	23	17	2	
461.940128	17.180794	trialstart	24	18	2	
479.120898	2.349957	ITI	24	18	2	
